source,target
bxf,kzv
bxf,tfz
bxf,qfg
bxf,qrb
kzv,bxf
kzv,qns
kzv,vsm
kzv,qrs
kzv,cvn
tfz,bxf
tfz,gvs
tfz,rbs
tfz,mlh
pjp,lhx
pjp,qmr
pjp,bnb
pjp,rhv
pjp,kfj
pjp,bsf
lhx,pjp
lhx,lqf
lhx,xgg
lhx,sds
qmr,pjp
qmr,tzn
qmr,fgk
qmr,bkh
bnb,pjp
bnb,nxv
bnb,psp
bnb,dkm
rhv,pjp
rhv,gpb
rhv,rql
rhv,lhc
kfj,pjp
kfj,lxt
kfj,ncv
kfj,brj
kqk,gjl
kqk,rpz
kqk,djf
kqk,dbm
gjl,kqk
gjl,bjf
gjl,bjk
gjl,tdr
gjl,rsv
rpz,kqk
rpz,xjc
rpz,nmp
rpz,lsc
gpp,qfl
gpp,xlv
gpp,gtl
gpp,kvz
gpp,hbf
gpp,vxq
qfl,gpp
qfl,thc
qfl,ztp
qfl,vkp
xlv,gpp
xlv,tbd
xlv,bsj
xlv,hzp
gtl,gpp
gtl,qms
gtl,pqq
gtl,vvh
kvz,gpp
kvz,kms
kvz,srq
kvz,tjx
kvz,fcf
hbf,gpp
hbf,gmp
hbf,phm
hbf,jcd
mfg,cqm
mfg,mkr
mfg,rkb
mfg,zlk
mfg,rtk
cqm,mfg
cqm,djx
cqm,csp
cqm,dzv
mkr,mfg
mkr,fmv
mkr,vfk
mkr,svq
mkr,rvh
rkb,mfg
rkb,bdd
rkb,jcs
rkb,jrk
fkl,tpq
fkl,ckj
fkl,pss
fkl,cdb
tpq,fkl
tpq,gzz
tpq,rbs
tpq,tmx
tpq,tfx
tpq,bqd
tpq,qkq
ckj,fkl
ckj,smf
ckj,jcd
ckj,qhv
ckj,dnp
pss,fkl
pss,cfb
pss,cfl
pss,lcm
cdb,fkl
cdb,ggb
cdb,bdd
cdb,tmc
qns,kzv
qns,khg
qns,sct
qns,qrb
dfd,lfl
dfd,gdb
dfd,mcd
dfd,jhq
dfd,bdj
lfl,dfd
lfl,glj
lfl,hzx
lfl,tkl
lfl,kqd
lfl,mrf
lfl,nlh
lfl,ztq
lfl,hbd
gdb,dfd
gdb,lrr
gdb,nbr
gdb,xss
gdb,sms
gdb,csb
rhn,blk
rhn,xkn
rhn,kbp
rhn,lpt
blk,rhn
blk,gqb
blk,pxk
blk,pms
blk,tfn
xkn,rhn
xkn,mhz
xkn,vrk
xkn,nth
kbp,rhn
kbp,szp
kbp,lhd
kbp,nvm
gkz,lxk
gkz,kns
gkz,xbs
gkz,fch
gkz,kkv
gkz,pkd
lxk,gkz
lxk,nxq
lxk,vdl
lxk,gsp
lxk,zsh
kns,gkz
kns,qkp
kns,bzf
kns,pqg
kns,rrc
czb,ddl
czb,qrt
czb,szj
czb,srl
czb,kzt
czb,bcb
czb,vdb
ddl,czb
ddl,zqt
ddl,ndp
ddl,zvb
gxp,gmj
gxp,zjb
gxp,nsk
gxp,rlg
gmj,gxp
gmj,ncv
gmj,gnf
gmj,qqx
gmj,sdj
gmj,bjn
zjb,gxp
zjb,pxr
zjb,qsm
zjb,nvc
zjb,fdl
zjb,mjj
zjb,shf
zjb,kzz
nsk,gxp
nsk,jkx
nsk,zpl
nsk,kqq
rlg,gxp
rlg,gsk
rlg,hmq
rlg,mmf
tqc,kth
tqc,kjg
tqc,bjh
tqc,trm
kth,tqc
kth,bqr
kth,tft
kth,sgm
kjg,tqc
kjg,qbr
kjg,fpj
kjg,lld
kjg,prv
kjg,mgt
hgg,kmc
hgg,lld
hgg,xtf
hgg,nxl
kmc,hgg
kmc,bjn
kmc,djs
kmc,ckh
lld,hgg
lld,vpd
lld,kjg
lld,dgc
xtf,hgg
xtf,lpq
xtf,xbr
xtf,qkm
xdg,hvr
xdg,vpv
xdg,mdm
xdg,spc
hvr,xdg
hvr,thg
hvr,psp
hvr,gkx
hvr,nxf
hvr,gjr
hvr,lbf
vpv,xdg
vpv,fdf
vpv,mjc
vpv,mkn
mdm,xdg
mdm,qnc
mdm,nxh
mdm,nrg
spc,xdg
spc,nxl
spc,qkg
spc,jgd
spc,bql
spc,tfn
spc,hvv
lrr,phm
lrr,gdb
lrr,jmg
lrr,kgv
lrr,rsj
phm,lrr
phm,hbf
phm,ksv
phm,vlf
xrk,vxt
xrk,xft
xrk,sdj
xrk,sxr
vxt,xrk
vxt,vcd
vxt,dgs
vxt,pjx
xft,xrk
xft,fkr
xft,pzv
xft,vdl
xft,qvr
sdj,xrk
sdj,nmz
sdj,bsz
sdj,gpb
sdj,qds
sdj,gmj
sdj,cxd
sxr,xrk
sxr,hng
sxr,cqr
sxr,mkn
mdb,nxq
mdb,mtq
mdb,csq
mdb,xgg
mdb,fbx
mdb,zrx
mdb,pfx
nxq,mdb
nxq,lxk
nxq,vpd
nxq,dqp
ghl,bfz
ghl,ssn
ghl,fdg
ghl,ghh
ghl,ztf
bfz,ghl
bfz,xqz
bfz,pfc
bfz,szc
ssn,ghl
ssn,ths
ssn,nss
ssn,tks
ssn,qzs
fdg,ghl
fdg,xnh
fdg,mml
fdg,rzc
fdg,mdk
fdg,njr
cnp,ktk
cnp,pzv
cnp,trt
cnp,zdk
ktk,cnp
ktk,zfc
ktk,sct
ktk,tbm
ktk,ttk
pzv,cnp
pzv,xpq
pzv,xft
pzv,kgt
pzv,dxj
pzv,mvf
pzv,jtr
trt,cnp
trt,vhr
trt,csp
trt,sqx
zdk,cnp
zdk,qxq
zdk,dnp
zdk,jqs
xvq,pqv
xvq,rqg
xvq,spn
xvq,vvj
pqv,xvq
pqv,mnb
pqv,jcd
pqv,bgm
pqv,sxv
rqg,xvq
rqg,sck
rqg,rcs
rqg,jss
rqg,kcr
spn,xvq
spn,knh
spn,ngm
spn,nvn
spn,hxq
spn,kpr
mmk,gtf
mmk,pdg
mmk,sqr
mmk,xbq
gtf,mmk
gtf,sfx
gtf,vmz
gtf,tff
gtf,kbk
pdg,mmk
pdg,bbk
pdg,tks
pdg,gnm
nvx,jbc
nvx,hfb
nvx,nmm
nvx,zbq
jbc,nvx
jbc,ggx
jbc,cvn
jbc,gks
bjn,rbh
bjn,kmc
bjn,khk
bjn,gmj
rbh,bjn
rbh,cjv
rbh,djg
rbh,tnf
ksh,bld
ksh,shz
ksh,fnd
ksh,srq
ksh,pcs
bld,ksh
bld,czh
bld,msr
bld,bpr
shz,ksh
shz,vsp
shz,ntj
shz,mtb
shz,mgc
fnd,ksh
fnd,xfv
fnd,gbr
fnd,phk
fnd,djn
slq,xnd
slq,hkk
slq,sqh
slq,hch
slq,rls
xnd,slq
xnd,rcr
xnd,kft
xnd,fll
xnd,knt
xnd,mvm
hkk,slq
hkk,gnc
hkk,xtn
hkk,xsr
sqh,slq
sqh,zss
sqh,hcs
sqh,bpf
hch,slq
hch,ndn
hch,vxs
hch,rqj
hch,hzt
rls,slq
rls,lln
rls,msr
rls,gcv
hnk,hsl
hnk,vbf
hnk,jdn
hnk,hhv
hsl,hnk
hsl,mhc
hsl,xzf
hsl,tmj
hsl,xnh
vbf,hnk
vbf,jqq
vbf,sms
vbf,gtc
jdn,hnk
jdn,dbz
jdn,ncd
jdn,ftq
jdn,dtc
hhv,hnk
hhv,jsl
hhv,csm
hhv,jxl
zfc,ktk
zfc,hfk
zfc,qsn
zfc,msq
hfk,zfc
hfk,mgm
hfk,pkv
hfk,xhp
hfk,rmg
hfk,lzz
djs,kmc
djs,vbq
djs,xzq
djs,zxn
vbq,djs
vbq,hsh
vbq,fkt
vbq,hdz
hvv,txb
hvv,sdk
hvv,spc
hvv,phq
hvv,lpq
txb,hvv
txb,szj
txb,sxb
txb,vnq
nmz,dgr
